,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
8055,1364,1595,1380,12,0,1
11597,1733,1620,164,9,81,1
18172,8,1,12,11,0,1
17925,821,68,36,10,76,1
17671,232,59,152,14,0,1
14866,1740,309,582,15,0,1
1080,507,194,7,15,41,1
10421,1052,888,179,14,124,1
16053,33,7,56,7,0,1
17364,2000,220,85,14,0,1
7389,1349,1455,427,11,160,1
18097,546,56,31,9,0,1
17788,315,86,111,9,0,1
9821,1928,1535,200,14,0,1
16078,23,8,62,8,49,1
17658,1453,83,55,15,60,1
18224,85,1,8,8,78,1
13717,308,140,1280,11,52,1
5829,245,64,840,11,143,1
17809,370,51,2,11,0,1
17829,389,141,161,8,48,1
6267,1657,300,12,15,146,1
6155,1251,955,523,15,21,1
4516,3618,3862,10844,11,49,1
18233,320,5,1,10,38,1
17315,320,59,289,15,0,1
15093,1205,1056,406,8,0,1
12426,616,381,1910,15,0,1
18236,5,1,3,10,0,1
16987,1135,174,0,11,0,1
10288,323,40,56,11,69,1
2934,4066,3748,884,12,60,1
7359,927,467,483,13,137,1
10527,407,150,1087,12,141,1
2845,6069,6550,1932,15,30,1
17378,406,88,0,15,0,1
13912,1674,441,1446,15,56,1
17037,70,10,14,10,0,1
14909,2244,2182,467,15,26,1
15708,103,7,56,11,0,1
5976,2128,1932,4959,11,104,1
17877,1969,505,3,15,0,1
17908,120,15,192,8,0,1
5028,2216,2099,4295,13,0,1
11225,1768,245,2,15,0,1
18204,684,5,86,12,37,1
4496,2919,3058,12635,15,68,1
10766,7784,7076,3681,14,73,1
8225,639,192,73,7,0,1
17845,365,216,469,15,0,1
14228,959,219,4601,13,20,1
16085,15,4,7,9,0,1
16076,24,2,7,8,49,1
16062,43,6,13,9,11,1
16080,25,5,11,9,44,1
11529,53,19,60,15,0,1
17271,343,97,3,11,0,1
12016,1636,2036,2388,11,140,1
7588,121,30,220,8,92,1
17948,410,212,47,13,42,1
16019,1942,1928,476,13,0,1
15606,454,117,85,15,0,1
18213,72,6,3,11,9,1
17654,1187,490,90,12,34,1
2452,960,435,26,11,91,1
8448,1228,541,0,12,0,1
16058,28,8,50,9,19,1
4379,846,779,378,12,62,1
2240,1928,1733,826,6,0,1
17165,689,299,335,10,0,1
16115,51,10,10,8,0,1
6746,3254,3244,39,15,128,1
8358,902,205,45,9,57,1
1336,2001,1668,188,14,46,1
16727,309,49,104,7,0,1
15748,346,59,0,14,0,1
17372,1859,501,21,13,37,1
7599,140,144,1388,8,88,1
15967,14,3,53,7,0,1
15885,10,3,30,10,0,1
17839,791,42,14,12,0,1
16123,27,3,61,7,0,1
13695,1359,435,1503,11,0,1
17448,38,8,43,12,0,1
17452,39,7,54,12,0,1
16876,931,9,6,12,160,1
15886,7,6,20,7,54,1
15970,19,2,53,8,0,1
15653,203,13,50,8,0,1
16226,614,44,51,15,0,1
18264,438,3,1,12,0,1
2866,1389,1056,21,11,116,1
18267,301,3,0,12,0,1
6729,1175,317,15,7,0,1
4233,1500,1020,57,8,48,1
17775,294,54,35,11,0,1
10525,4924,4578,7349,8,95,1
16398,1229,827,60,10,109,1
17906,581,28,65,14,155,1
18191,583,31,16,14,92,1
16059,1267,47,1,14,79,1
16918,272,37,55,12,62,1
3172,1801,122,30,14,35,1
5431,720,253,209,8,8,1
16093,33,8,71,8,0,1
2062,3861,3563,128,10,140,1
16895,92,6,24,10,0,1
17955,390,15,0,12,0,1
16890,3311,3010,214,14,158,1
18256,638,46,3,10,59,1
15728,1841,1065,81,15,71,1
3698,26189,25129,28,9,95,1
9380,1899,2914,12271,15,78,1
13035,1792,1325,169,15,60,1
9639,1981,3269,42372,7,68,1
2684,75,13,27,8,0,1
6839,1840,758,6,15,0,1
17608,107,35,137,9,0,1
2792,3750,3600,1189,15,115,1
18105,406,30,5,15,81,1
5262,3009,2809,285,14,116,1
18235,209,14,9,15,0,1
18242,282,5,1,13,0,1
8925,1728,818,157,14,131,1
12085,1443,590,45,15,77,1
18170,901,88,629,15,73,1
18171,17,4,38,12,0,1
704,1187,248,69,14,0,1
17862,236,46,14,14,0,1
16564,425,277,41,12,0,1
565,1900,781,812,11,65,1
10416,1623,1437,113,15,0,1
16468,436,295,81,9,0,1
14289,17,7,73,6,0,1
16578,423,265,33,10,0,1
16335,440,295,28,9,0,1
16496,430,269,73,13,0,1
7412,3695,3595,292,15,64,1
16331,425,268,90,13,0,1
18061,63,13,78,10,0,1
12705,1995,1306,358,15,143,1
17458,159,1,131,7,0,1
18192,1087,125,18,13,27,1
11528,55,13,63,15,0,1
15759,1633,1505,2310,8,139,1
18250,469,0,0,14,0,1
17851,200,1,1,11,0,1
7277,1031,739,1299,15,47,1
10665,263,18,29,14,0,1
8974,1900,1250,106,14,33,1
7642,159,80,1172,11,58,1
17223,1228,863,108,11,19,1
832,1739,1451,3544,8,73,1
10483,170,140,838,14,56,1
17779,523,77,75,12,0,1
17415,1606,117,191,9,0,1
18244,55,1,266,14,50,1
8585,2001,398,615,10,8,1
12784,872,189,21,14,20,1
18308,301,0,6,13,0,1
5555,2001,1638,2509,15,117,1
17276,462,79,10,12,82,1
3062,9468,9051,1350,7,97,1
10107,3463,3188,580,14,90,1
16680,520,198,20,11,69,1
14322,1956,614,70,12,63,1
18262,56,9,97,12,72,1
17491,174,46,81,7,140,1
17444,63,10,59,10,0,1
17446,49,4,69,13,0,1
2970,1003,586,2,15,20,1
17521,290,2,1,15,142,1
17662,2001,163,5,9,124,1
14592,2001,1164,140,15,118,1
17767,126,67,57,12,149,1
18209,376,44,5,9,20,1
17086,1077,751,1991,12,156,1
1838,32776,36568,12391,10,158,1
9228,598,190,51,15,46,1
14908,482,394,54,8,8,1
18210,100,38,73,12,27,1
8345,1287,8137,2561,15,117,1
16759,323,208,542,14,0,1
17074,834,228,0,12,0,1
18028,11,6,54,11,0,1
5160,2573,2412,1338,11,62,1
17170,411,244,13,14,83,1
6796,1713,1312,269,12,44,1
16106,817,138,358,14,0,1
18275,138,10,27,14,63,1
18010,383,56,18,14,38,1
16913,49,6,9,13,0,1
1046,916,1112,1049,13,25,1
18265,94,1,0,14,0,1
18266,94,1,0,14,0,1
9254,133,15,1439,12,108,1
17201,118,13,34,15,0,1
826,835,807,1492,7,101,1
6014,510,14,3,6,130,1
18212,59,5,3,15,0,1
17085,568,382,173,10,0,1
16887,317,166,41,11,122,1
18018,1757,6211,533,14,41,1
16766,311,136,31,12,95,1
6576,2099,2283,945,11,37,1
18292,246,0,0,12,129,1
17494,861,94,29,11,0,1
803,2531,2302,1610,10,134,1
18073,258,168,120,11,19,1
17496,1330,182,29,11,0,1
16959,27,4,5,9,0,1
18294,57,6,63,13,15,1
17253,966,98,0,9,0,1
16452,1177,331,269,8,149,1
18047,103,7,3,12,152,1
18298,181,0,0,8,0,1
3937,1460,1904,3372,10,146,1
14517,4512,4101,813,8,160,1
18248,27,3,17,8,0,1
10037,1394,636,194,10,37,1
14911,842,169,68,14,127,1
17414,494,206,8,12,30,1
16597,1583,710,177,8,76,1
10179,728,343,164,8,142,1
17684,714,56,3,14,59,1
17634,918,104,11,12,53,1
1426,15243,14270,10751,14,73,1
2228,30507,30675,477,11,111,1
17152,269,195,257,14,0,1
17154,275,199,243,13,41,1
18128,460,86,12,7,64,1
17625,161,46,136,12,0,1
17311,831,178,13,10,74,1
15988,69,21,9,12,0,1
18234,714,42,2,10,24,1
16196,1811,1146,239,15,71,1
17513,1032,357,21,15,145,1
13753,1996,1168,4067,9,129,1
16137,708,303,9,14,140,1
16015,1569,1393,210,15,86,1
18301,367,1,0,13,0,1
15615,1349,1183,527,10,34,1
11985,986,734,1156,9,41,1
9691,2001,199,64,11,145,1
8956,116,180,8189,11,84,1
8025,1409,2605,2494,12,62,1
15858,310,51,54,13,116,1
15881,120,23,28,14,0,1
4234,10200,9942,20,11,0,1
2810,3357,3552,948,13,150,1
17318,1615,1576,196,13,154,1
8966,1111,895,741,13,48,1
17232,361,99,8,15,467,1
6026,1368,421,7,15,0,1
3803,1285,440,164,7,20,1
7859,779,280,281,13,123,1
2734,555,496,218,13,0,1
17281,1958,640,38,15,95,1
16100,3,0,24,8,49,1
17333,1111,697,14,9,92,1
11723,1943,1717,2876,5,123,1
1747,1698,869,195,10,87,1
18332,45,10,10,15,0,1
17161,1957,1296,521,14,110,1
15195,241,56,279,13,0,1
18379,95,0,1,12,25,1
15887,7,1,36,10,0,1
18069,44,4,0,10,0,1
2493,3445,3133,109,9,160,1
14723,2001,126,3,8,72,1
4324,1774,780,4,9,35,1
17327,555,66,34,9,43,1
16360,1494,661,7,13,0,1
6779,875,456,117,15,137,1
17639,196,12,13,12,0,1
17893,1287,265,19,14,157,1
8178,675,484,2647,7,89,1
18386,101,4,1,11,46,1
17447,51,3,47,13,0,1
17597,1509,266,75,15,97,1
18068,241,26,6,12,59,1
15703,961,423,32,12,145,1
16502,2000,666,323,13,0,1
6058,216,140,501,14,73,1
6389,321,92,368,10,35,1
12141,1474,1295,593,14,156,1
3764,1498,1165,166,14,40,1
15786,2001,813,22,14,127,1
6166,2001,573,112,5,154,1
18202,357,117,83,13,0,1
15902,7,4,38,8,115,1
17356,692,243,858,10,0,1
6526,585,292,1620,15,0,1
747,1939,1570,254,9,16,1
11226,1820,239,10,13,0,1
13469,1884,885,8153,15,143,1
9725,1861,209,7,9,9,1
11232,1661,167,3,11,0,1
16584,1969,1523,1440,7,38,1
1088,5811,6253,1424,8,62,1
17264,2000,843,24,15,0,1
7971,2406,2324,390,13,98,1
8107,3234,3142,419,14,145,1
16899,429,59,5,5,41,1
7945,2489,2413,429,12,132,1
7968,2006,1929,342,10,83,1
10840,728,42,14,6,0,1
6677,322,154,8,15,60,1
17913,1543,254,18,13,156,1
11361,760,395,9,15,40,1
16131,1878,818,258,15,118,1
17517,1989,761,136,10,75,1
3767,2001,438,721,8,10,1
6361,2523,2447,1215,14,151,1
7818,2031,1847,955,9,0,1
17208,774,74,21,10,0,1
13672,868,429,3,9,0,1
16152,50,6,10,8,75,1
656,8307,7577,3014,13,61,1
14215,44,17,20,10,0,1
12583,9023,8657,443,7,66,1
15972,4,1,12,9,72,1
1679,2001,1418,15963,10,138,1
18337,840,48,4,14,73,1
16006,1037,423,1942,13,159,1
16003,1008,606,1946,11,156,1
8914,120,31,2,5,0,1
5905,85,25,234,11,81,1
13918,1220,939,124,15,159,1
17858,251,64,37,12,0,1
15721,1516,764,14,15,35,1
17853,256,66,8,11,0,1
18297,163,0,0,14,90,1
15744,1097,131,42,9,0,1
17222,1492,434,341,15,118,1
16287,1166,679,4628,13,80,1
18419,229,0,0,15,0,1
17432,827,87,0,14,0,1
14544,1906,1638,2804,9,57,1
16803,293,306,339,9,0,1
17436,816,247,7,6,95,1
16926,280,48,94,12,28,1
7018,2105,1962,201,12,78,1
12067,1647,1181,33,12,0,1
16929,323,47,74,13,54,1
18143,430,15,5,9,94,1
1472,469,671,2124,4,46,1
15602,1551,892,280,12,70,1
7843,86,2,4,10,52,1
7248,1250,295,0,11,0,1
18162,577,58,5,14,138,1
10705,933,765,230,8,72,1
17870,249,55,8,10,0,1
18327,359,4,11,7,0,1
16582,429,264,28,14,0,1
14972,1942,968,3,12,0,1
15771,651,315,51,12,134,1
16789,313,314,361,11,0,1
16808,285,318,331,9,0,1
17743,204,388,321,15,129,1
6378,793,41,7,5,10,1
15331,699,573,1512,10,115,1
16295,245,132,10,12,160,1
15730,515,102,107,10,0,1
18201,189,41,31,12,61,1
3579,2369,2153,285,14,52,1
8382,130,37,174,11,0,1
8802,1393,1017,493,14,25,1
16870,1418,599,68,14,45,1
3657,129,118,1600,8,120,1
3192,1993,1581,974,13,146,1
17196,136,14,126,13,21,1
10016,179,115,1246,12,54,1
18388,445,3,10,15,0,1
16223,452,288,37,13,0,1
18166,1041,204,0,7,0,1
14698,1103,147,43,10,0,1
3994,1693,1256,294,10,48,1
7963,1361,376,94,14,55,1
12088,1860,1473,1323,10,107,1
16659,156,11,12,11,131,1
18331,384,30,6,10,100,1
14834,97,12,6256,11,0,1
18380,101,0,1,12,46,1
18399,433,2,11,15,0,1
4561,7725,7357,4070,14,141,1
11910,458,120,290,15,23,1
18165,1517,218,3,13,0,1
150,12453,11320,19489,5,27,1
18364,16,2,10,7,89,1
14304,596,300,100,10,74,1
17836,266,22,8,10,0,1
107,1749,1006,16381,8,156,1
7896,1913,1180,992,14,120,1
668,56370,59619,21964,15,157,1
18369,146,4,3,15,0,1
18168,63,3,7,10,0,1
16868,223,45,55,14,0,1
14948,282,61,14,13,40,1
3184,142,12,4,15,39,1
9268,151,31,120,14,104,1
9194,1897,976,21,8,16,1
13604,1432,1157,391,15,130,1
18401,162,16,1,11,149,1
4790,1080,354,198,15,114,1
17180,689,338,271,14,120,1
1241,25250,26769,11117,8,141,1
15774,311,114,1854,12,104,1
7473,546,1107,148,15,144,1
18306,78,27,14,10,0,1
16822,1732,289,63,12,0,1
7058,335,284,260,8,155,1
17578,246,12,0,12,0,1
14811,1585,1331,889,15,46,1
11338,336,191,654,12,108,1
8909,3531,3295,2205,11,51,1
8036,726,370,386,12,0,1
9364,267,162,387,10,37,1
2888,1613,893,367,10,136,1
9276,152,49,448,12,67,1
6650,362,315,342,15,0,1
3572,7140,6673,1736,11,118,1
5414,723,318,21,12,154,1
3124,1600,1851,4109,15,98,1
16746,295,110,3,13,0,1
18460,17,1,5,14,0,1
13633,1017,824,1067,15,55,1
8538,332,75,123,15,0,1
18403,135,22,9,12,0,1
18422,85,0,19,15,155,1
348,2314,2352,703,12,10,1
5918,2858,2714,3030,9,85,1
18471,272,4,2,13,82,1
13684,1539,1475,287,9,153,1
17428,840,132,27,15,113,1
18140,401,70,1,15,0,1
16871,549,276,9,14,146,1
17163,7,3,9,11,22,1
9277,144,24,16,12,67,1
18433,101,2,0,12,141,1
18441,473,7,0,9,61,1
101,10691,13605,5243,13,145,1
18443,3,0,7,13,31,1
18169,253,161,77,13,63,1
17474,131,53,158,11,106,1
9666,201,126,1020,11,119,1
9055,780,196,382,10,0,1
607,7854,8225,21637,8,53,1
10744,422,123,578,8,0,1
17594,1904,203,41,13,150,1
17591,225,10,65,12,0,1
18468,8,0,4,11,0,1
2144,2309,2174,56,11,93,1
14816,113,23,6151,12,0,1
1323,204,69,115,8,160,1
18062,154,18,3,7,0,1
4073,328,155,682,10,0,1
14822,116,13,6116,14,0,1
18482,1,0,0,15,17,1
15423,1183,709,29,10,132,1
11332,2498,2364,29,13,54,1
13772,68,10,52,9,148,1
18437,378,157,53,14,157,1
17385,851,233,274,11,0,1
17369,170,13,2,14,14,1
3974,4281,4153,5,12,100,1
11273,2500,2320,42,12,42,1
2264,4309,4274,3213,11,85,1
5657,1504,2276,42780,13,79,1
16051,3,0,2,10,54,1
18446,70,1,0,9,0,1
17449,53,7,66,13,0,1
16407,1978,1145,24,11,0,1
6406,4125,4116,482,11,34,1
16314,2001,1313,354,14,108,1
3612,696,271,420,7,0,1
16428,1232,760,17,10,133,1
17347,66,13,39,10,0,1
7538,1682,1123,194,14,0,1
18445,20,7,8,11,0,1
17749,524,151,237,10,0,1
18237,570,105,2,10,134,1
4982,211,141,108,10,79,1
11494,85,31,197,15,0,1
18449,194,4,0,5,29,1
14650,1564,1062,498,12,46,1
6939,1498,910,21,8,0,1
16658,1440,549,782,10,57,1
1117,2477,2264,211,11,62,1
18291,347,58,5,15,54,1
15201,2525,2295,29,8,0,1
17551,1657,1427,8112,6,50,1
18052,279,165,43,11,113,1
1675,216,244,94,5,37,1
13728,519,33,831,6,0,1
18453,400,1,0,12,0,1
11132,661,506,126,9,83,1
12052,3093,2848,3496,11,157,1
16064,32,6,65,7,75,1
692,1721,1338,327,11,160,1
2055,4214,6439,1414,5,22,1
16111,2001,287,72,13,92,1
4932,112,7,3,9,0,1
2392,1383,1125,1023,4,36,1
15318,1162,583,28,15,0,1
8654,830,609,103,13,34,1
3224,2056,1906,1211,12,0,1
2924,127,102,448,7,0,1
11596,118,28,75,8,63,1
18341,734,338,82,15,82,1
18402,356,28,11,9,11,1
2478,1469,527,111,9,0,1
6611,2001,1550,146,10,73,1
1953,1206,460,828,15,0,1
13896,807,442,108,13,131,1
5302,2463,2256,1035,15,22,1
3893,697,288,94,15,0,1
15952,1466,625,42,7,160,1
7150,1125,455,458,10,0,1
17177,1045,174,19,15,0,1
386,1342,1246,1124,11,26,1
13031,1969,1342,190,13,0,1
17515,1741,239,75,10,0,1
17412,331,44,1,12,76,1
18425,298,20,39,14,21,1
3624,923,837,111,9,48,1
14584,1932,1279,683,14,25,1
16750,195,178,91,11,0,1
18065,94,27,97,11,0,1
13112,1418,713,1194,9,131,1
16841,869,281,2512,14,19,1
9712,787,364,126,12,25,1
15933,959,513,3759,9,15,1
18508,669,2,0,13,0,1
18351,56,12,74,13,0,1
15462,245,22,13,11,74,1
4199,254,149,453,7,49,1
5276,3571,4164,974,9,131,1
11628,2001,573,21,9,9,1
15562,102,21,20,13,0,1
8180,297,200,52,8,0,1
7394,2805,2550,610,12,110,1
7747,974,467,261,8,53,1
1842,2000,693,769,10,38,1
10183,1190,800,482,12,0,1
9,3779,3920,1830,10,120,1
4070,839,157,7,14,114,1
16811,343,337,312,15,0,1
15894,218,50,53,13,0,1
18198,368,2,1,12,0,1
9331,151,59,3,10,76,1
7258,238,71,89,8,73,1
8097,144,3,2,14,107,1
5135,215,368,20098,7,84,1
3255,1612,1351,2321,14,150,1
13254,1210,327,34,8,121,1
18032,3,1,3,10,0,1
16956,1211,782,2562,14,0,1
16422,89,16,17,13,0,1
4699,413,264,845,14,0,1
9180,5999,9572,5112,15,157,1
16840,22,12,11,15,0,1
17258,1181,579,516,11,0,1
18129,311,36,2,12,0,1
10822,589,703,1551,8,119,1
17241,2001,482,4,13,42,1
17048,194,21,28,14,51,1
1610,2853,2610,460,9,85,1
9314,146,27,25,12,82,1
5797,635,318,1722,14,0,1
17103,1294,199,61,9,0,1
17632,149,47,167,14,0,1
9316,135,20,8,11,95,1
15257,2000,1565,351,9,74,1
11312,11130,10233,2205,12,84,1
2390,649,345,1118,15,37,1
3587,6564,6467,7370,14,0,1
18488,49,1,0,10,119,1
5967,10090,9173,5394,6,78,1
18033,464,165,324,14,55,1
18352,506,99,4,8,43,1
864,245,59,45,8,15,1
12576,161,40,207,9,0,1
2326,5601,5398,1238,10,160,1
16637,218,178,7,14,158,1
2394,1282,734,4927,10,54,1
3364,2001,1764,636,11,37,1
18082,210,29,128,15,0,1
18114,18,0,5,14,0,1
18490,433,5,2,13,40,1
14371,2014,1907,931,15,39,1
13479,215,57,457,10,0,1
13597,1991,1324,44,7,36,1
16001,1486,381,182,15,152,1
17362,1024,186,32,7,141,1
17297,1076,208,28,12,91,1
16205,565,155,98,12,0,1
17678,1210,315,85,12,0,1
17116,934,210,688,12,0,1
7111,1721,1141,21,12,125,1
6566,1841,1676,896,8,61,1
14936,923,207,48,11,62,1
11038,894,66,16,7,0,1
11031,2000,1720,1299,14,159,1
17391,1508,656,35,15,0,1
3128,393,197,188,4,131,1
7069,4985,4543,134,12,154,1
15920,13,5,34,8,15,1
1210,8463,7698,6009,8,141,1
4284,5844,5696,1672,15,146,1
12293,1170,708,474,14,114,1
18263,110,9,13,6,90,1
17434,779,198,1,14,0,1
18438,245,80,29,12,159,1
8796,2842,2731,1339,15,102,1
8518,160,45,313,11,57,1
539,8350,8572,20362,5,132,1
9608,2326,2182,10405,15,139,1
18370,110,12,15,11,42,1
17561,1524,842,13,14,88,1
18229,923,224,31,12,37,1
13706,836,737,1104,13,77,1
16065,52,29,121,7,0,1
5895,789,1172,2145,15,92,1
18541,258,5,1,15,78,1
18186,618,194,900,6,43,1
6000,211,128,820,11,24,1
2600,5723,5203,714,12,54,1
17242,674,306,5,15,0,1
17645,1641,576,2,15,49,1
8009,107,26,235,6,118,1
1922,1912,1535,1076,9,94,1
4120,155,83,2,13,11,1
15116,1421,711,77,15,156,1
12965,7256,7041,439,13,135,1
204,6513,6760,5823,11,139,1
3351,5785,5383,33,11,0,1
2964,775,257,30,8,105,1
18522,679,37,2,7,0,1
10127,1,0,0,8,0,1
15436,10889,16948,2,8,46,1
12622,1384,434,49,15,71,1
16068,58,11,20,7,103,1
16046,24,4,13,9,10,1
16066,41,7,16,7,57,1
16084,67,9,15,9,0,1
17777,454,148,0,12,0,1
5955,2448,2356,98,11,104,1
4100,779,1267,627,10,63,1
3820,2001,1788,8077,10,159,1
18504,473,0,10,11,0,1
18221,486,37,105,8,92,1
18524,248,0,1,10,0,1
223,2001,1284,91,12,63,1
15256,317,135,51,7,0,1
18309,539,85,3,9,51,1
18525,240,10,1,7,0,1
17933,421,141,21,15,156,1
14613,147,95,676,7,49,1
18526,152,1,0,10,0,1
18048,261,185,252,10,107,1
16471,451,321,100,8,0,1
15838,519,405,700,11,0,1
4080,1063,306,172,13,154,1
16148,449,63,47,11,3,1
16490,469,307,69,13,0,1
17744,357,89,224,15,0,1
16399,7669,8112,11,11,48,1
15422,1794,517,87,9,47,1
16529,1804,460,48,15,45,1
17353,1851,499,53,15,93,1
17891,836,352,81,6,111,1
16222,456,307,41,15,0,1
15452,137,8,0,11,0,1
18518,442,1,12,15,0,1
4632,534,1267,2365,9,160,1
17697,395,54,265,15,0,1
18366,170,85,78,12,14,1
9369,811,463,6448,11,0,1
14359,1814,661,1205,13,75,1
1368,1419,948,11,10,73,1
18119,1137,221,61,3,15,1
18529,263,2,0,15,0,1
11261,1904,1427,817,10,78,1
3101,4190,3810,4384,14,126,1
4267,5795,5830,54,11,49,1
17230,901,243,634,12,86,1
13824,1269,860,70,13,131,1
1416,2738,2595,4416,6,137,1
16763,432,300,683,12,0,1
15783,720,676,56,15,66,1
18476,26,0,0,15,0,1
2455,335,184,1867,13,121,1
3946,1246,386,44,8,42,1
7709,2754,2661,7129,15,0,1
9190,2000,1047,57,14,96,1
17186,1939,1347,4,9,153,1
4338,176,468,91,9,20,1
2813,1910,357,150,12,51,1
18562,862,6,8,10,0,1
17214,671,238,1,13,0,1
2552,1010,868,612,11,0,1
4249,643,555,173,9,3,1
3494,1380,1129,540,13,126,1
15938,1236,393,49,12,81,1
2446,1436,1049,319,12,35,1
15351,179,93,105,9,30,1
1638,1719,1444,2107,11,22,1
16178,689,448,38,15,0,1
18368,165,24,22,15,32,1
6048,1000,761,20,12,80,1
7035,855,294,340,15,107,1
6086,1652,1226,203,15,61,1
5139,1438,1041,77,13,55,1
13284,808,104,52,11,67,1
6201,557,161,2,8,0,1
17781,468,160,0,9,0,1
7659,169,24,54,10,86,1
17835,1016,271,61,12,97,1
18116,964,257,372,11,0,1
17137,1687,711,7,11,97,1
2533,6527,6290,1329,8,98,1
16815,460,297,575,10,0,1
7779,111,11,39,13,0,1
10337,591,203,730,15,89,1
18569,104,10,5,10,26,1
1387,2848,2832,2208,9,67,1
18280,164,69,39,15,105,1
17270,899,270,16,13,148,1
18243,1317,332,1,11,143,1
5807,139,72,201,10,0,1
3318,85,18,146,9,145,1
17437,845,341,6,11,88,1
18519,624,4,0,12,87,1
17355,831,515,391,9,0,1
658,4357,4579,8179,8,32,1
14880,3987,4032,1867,12,42,1
6734,3324,3022,13,5,0,1
18498,207,39,222,15,0,1
11508,109,35,186,13,0,1
9925,1351,293,40,10,0,1
12187,939,607,18,12,15,1
3420,2143,2082,328,10,71,1
17094,499,118,0,13,0,1
17814,983,132,17,13,104,1
18410,83,9,2,6,0,1
12922,1309,1264,316,7,0,1
13200,1630,1597,1948,9,144,1
11520,51,24,63,15,0,1
17700,403,129,207,11,0,1
17425,476,81,246,13,43,1
18560,501,7,0,12,0,1
7655,5151,4804,1609,9,58,1
15849,1031,436,59,14,139,1
110,20255,19726,4439,11,151,1
18354,1124,418,8,15,56,1
18561,291,2,2,15,0,1
12874,349,103,15,11,116,1
17568,156,13,175,10,0,1
725,1377,1285,212,11,123,1
241,2518,3515,765,10,50,1
8367,4745,4313,105,12,154,1
1640,2824,2640,693,9,70,1
1420,10839,10099,6066,10,80,1
16522,1105,1048,345,10,136,1
12183,1100,836,929,9,155,1
12617,3322,3074,522,13,52,1
2407,7341,6672,1271,13,153,1
912,4128,4026,1754,10,157,1
16706,1227,1019,120,5,136,1
10707,2058,1907,5028,13,92,1
9390,1848,1005,4188,15,153,1
6963,1594,295,1088,7,72,1
16389,583,413,5,12,63,1
2836,1275,2276,77,6,160,1
18520,192,0,0,6,0,1
4210,412,296,322,14,0,1
707,4395,4221,2024,8,149,1
548,1716,409,132,15,12,1
18551,106,5,19,15,79,1
18579,28,3,20,8,0,1
16509,1970,1802,1022,15,35,1
15453,166,15,0,11,0,1
17062,804,163,217,10,98,1
914,64496,64430,1547,11,155,1
2453,25690,25233,1352,13,148,1
17433,1236,262,1,15,0,1
5090,1655,1182,64,8,44,1
5670,977,176,12,12,43,1
7710,2223,2043,703,10,26,1
6737,3105,2822,13,8,0,1
12157,193,67,624,13,88,1
1854,1918,1475,136,6,108,1
4873,1001,1004,234,13,109,1
11446,72,10,79,13,0,1
18390,593,78,1,12,0,1
3845,534,168,39,7,100,1
14388,25,7,19,10,0,1
4833,132,24,212,7,43,1
804,3027,2752,3767,7,156,1
16202,805,247,38,15,0,1
7447,328,99,2386,13,32,1
18095,10,4,11,11,0,1
18614,48,14,39,15,13,1
1715,4087,3921,188,15,34,1
18558,509,51,1,12,98,1
4179,2032,1852,3744,12,21,1
7928,845,385,269,12,140,1
3118,20138,19211,665,15,153,1
379,431,350,902,10,16,1
9917,145,65,677,10,0,1
1254,2006,1954,3890,10,130,1
9000,2379,2591,67,10,75,1
17254,842,423,1023,10,43,1
18567,15,0,1,10,0,1
8454,133,8,0,10,0,1
7567,182,41,79,10,92,1
15693,1808,963,9,11,0,1
15750,1088,753,335,13,146,1
4206,393,79,302,11,0,1
5883,964,969,18195,13,20,1
18564,737,233,5,11,101,1
15620,4837,4483,52,8,0,1
7062,120,22,94,8,72,1
9130,252,21,276,13,0,1
17220,1540,209,23,14,0,1
18555,952,80,17,13,0,1
17440,1425,201,41,14,0,1
7570,168,27,31,10,74,1
7713,1998,851,70,9,13,1
17441,1548,141,37,14,0,1
12930,690,764,39,10,74,1
5334,619,220,181,14,36,1
18394,493,48,40,14,0,1
5590,1927,1849,165,15,60,1
18595,108,0,15,10,0,1
3163,2787,2533,246,14,107,1
352,4001,3790,7298,10,160,1
7802,1899,1360,9494,13,37,1
16628,615,233,1676,11,124,1
10910,70,20,142,8,5,1
12233,1124,1018,2337,8,72,1
1470,33550,33646,10109,15,62,1
17392,529,50,3,13,0,1
514,9624,25081,1905,9,105,1
5336,4564,4575,2629,15,145,1
2507,6448,6638,3038,13,146,1
15165,677,580,66,13,149,1
2737,2318,2195,353,9,19,1
7891,10009,9046,6,10,56,1
2908,4935,4744,1017,8,72,1
17605,69,11,33,13,0,1
8439,61,0,0,10,0,1
6532,7020,6496,168,15,25,1
4269,4428,4120,47,10,74,1
9173,299,242,37,6,94,1
17643,2,0,4,8,0,1
4279,5553,5102,113,14,137,1
2713,11018,10025,2866,15,140,1
17481,269,55,0,13,0,1
17237,577,372,31,10,55,1
17660,17,6,1,15,0,1
7047,2985,2726,6335,15,119,1
15738,1810,681,9,14,118,1
1527,1118,243,10,11,50,1
17586,908,42,1,9,52,1
3752,5009,4553,9579,12,103,1
7378,1094,160,864,9,111,1
1536,5940,6132,14996,15,79,1
16743,1387,393,2972,15,65,1
2717,1995,321,57,12,137,1
14206,462,409,65,9,61,1
1765,15143,14549,204,9,65,1
4894,29555,27989,3344,12,96,1
17748,259,28,0,9,153,1
15677,304,81,240,11,0,1
18276,27,0,6,11,0,1
18278,27,0,1,14,0,1
18458,355,27,1,2,0,1
18277,27,0,3,10,0,1
